Movie,Title,Content,Rate,Upvotes,Downvotes,Polarity,Subjectivity
,Too many cooks in the kitchen,"Just finished watching Emilia Perez and it was fine I guess. There is a lot to like and dislike in this movie.Positives for Emilia Perez : The movie looks good with some great cinematography. The movie does get ambitious with the blending of genre thrown into the mix and I appreciate that. The performances from Zoe Saldana and Karla Sofia Gascon are very good. The musical numbers are fun to watch. And finally, I thought that the movie did a great job at telling its transgender story.Mixed for Emilia Perez : While the movie is certainly ambitious with its blending of genres, there are elements to this that felt out of place in this movie. The musical numbers feel like they just came out of nowhere and it felt jarring at times.Negatives for Emilia Perez : The movie is way too long and I feel that this movie couldve told its story with a shorter runtime. The movie lost my interest almost immediately and it just became background noise for me.Overall, I admired the filmmakers and actors for being ambitious with this movie, it just fully worked for me. However, I would still recommend this movie to people, if they are interested with this movie.",6,76,123,0.34833333333333333,0.5521428571428572
,Is this a joke?,"As a Spanish native speaker i found this movie disrespectful and childish. The spanish speakers characters can barely pronounce two words, turning the whole script into an uncomfortable caricature. Although disguised as a modern production, they fall into the same errors of typecast Latinos into same old stereotypes. The only valuable thing is the attempt to offer something different by mixing a Spanish language film with a musical, however its execution becomes irritating to watch. Im sure any positive reviews must come from someone totally unfamiliar with the Spanish language, as this is a determining factor in making this film totally inedible and a endless meme material.",1,851,59,0.0024891774891774867,0.43496873496873495
,Save your time and money.,"The hard truth about this movie is that people who have visited Mexico keep coming only to Cabo and Cancun where drugs, alcohol and sex are still a thing; instead of educating themselves and visiting Mexico City, Guadalajara, Monterrey, or Puebla. The United States of America citizens are the main consumers of narcotics in the world. Natural born consumers of anything they see such the latest IPhone. As long as these ignorant people exist, Mexico will be unsafe for us the citizens.And yet somebody thought it was a good idea to make a movie about this. And to make things worse, filled with stereotypes.There is no place for this kind of content.",,93,15,0.15681818181818183,0.6431818181818183
,The movie has a lack of focus,"I think the film juggles too many themes, and none of them are fully explored, leaving the narrative feeling rushed and incomplete. And as a result, it feels like a collection of ideas rather than a cohesive story.I also didnt quite understand why it was framed as a musical-this choice felt disconnected from the rest of the story.The performances are solid, but the characters arent developed enough to create a lasting emotional connection.However, I really liked the cinematography, beautifully shot and visually captivating.To sum up, the movie leaves you wanting more depth and clarity.",6,39,74,0.255,0.43499999999999994
,I can't believe this has 13 Oscar nominees,"This movie is considered one of the best motion pictures of the past year? How? What a miserable experience. Why is this movie a musical? WHY? None of the songs do anything to advance the plot or tell us more about the characters, in fact the awful songwriting makes every scene with a song feel like instead of getting a deeper understanding of anything through song, the song is being used to tell us things that we can already see on screen and would be way more effectively communicated through better visual storytelling. The songs also dont really have any structure to them, they dont go anywhere. It genuinely feels like it was translated by Duolingo and the awful delivery of the lines doesnt help matters at all. Karla Gascón is fine...but not that fine to be nominated for an Oscar.",1,600,45,0.06190476190476192,0.5035714285714286
,Strangely bleak,"Enjoyable enough movie with two demanding leading roles and two supporting roles requiring excellent performers. The first two are played by Zoe Saldaña and Karla Sofia Gascón, the second two by Selena Gomez and Adriana Paz. This quartet shared the Best Actress award at Cannes 2024. They deserved it. Saldaña in particular is a revelation.Of writer-director Jacques Audiards previous films, Ive seen four , each memorable in their different ways. None of them prepared me for this one, so hats of to him for not getting stuck in a genre rut.Theres a lot of story and a lot of singing in Emilia Pérez. When the singing is paired with Damien Jalets incisive choreography, the effect is thrilling. Otherwise, the songs drag the movie down. They are musical-theatre lite, dont dig deep, so are not up to the dramatic demands put upon them. Theyre at their best in the rap-inclined numbers, where rhythm is the most important element.The moral of Emilia Pérez seems to be that we can never slough off the past, change who we are or what we want. Its a strangely bleak vision to present in a musical.",6,66,141,0.15462962962962967,0.4476273148148148
,It's a caricature,"I am speechless... Im guessing all the positive reviews are from people who a) dont speak Spanish and b) wanted their caricatures of Mexicans and trans people confirmed.The dialogues are insufferable, no one speaks like that, the music is jarring, the accents are not good.The bad words sprinkled thought the movie feel so unnatural, not only because of the delivery, but how they are used. This was clearly written by somebody with some vague knowledge of Mexican culture, but definitely not enough to make something good.The only redeeming quality this movie has is that its undoubtedly pretty. Thats it.Mexican people should avoid it at all costs.",2,1093,98,-0.011157024793388415,0.5541322314049587
,Felt like a fever dream,"A musical about a cartel leader undergoing a transition into a female social activist was not on my Oscars bingo card. I am a bit confused on how it snagged a leading 13 Oscar nominations. I really wanted to like it but it felt all over the place, the story felt off somehow... not satisfying i suppose. The movie being a musical seemed really random and the songs were not that great. I dont want to be super negative because it did have some good moments with the acting, costumes/makeup, and some of the choreography. Zoe Saldana and Karla Sofia Gascón put on a great performance and I think that they are deserving of some recognition but I still cant get over the 13 nominations.",6,16,37,0.13444444444444445,0.44000000000000006
,Everything but mexican,"Only money is capable of making someone consider this film a good representation of history, culture or anything, on its own or considering the Mexican context. The number of nominations and awards only demonstrates this, that the outpouring of money moves the vote. The Mexican majority itself finds the film disrespectful. A French director who thinks he knows enough about Mexican culture, an international cast with a Mexican actress who isnt even being considered in the awards campaign. Its simply bizarre and frightening that the film industry and academia genuinely consider this work.",1,552,49,0.11999999999999998,0.44
,one word : flabbergasted,"Came to write this after seeing its gala screening at the London film festival.A wild, insane roller coaster of a film that mixes crime, comedy, musical and thriller all into one and succeeds with flying colours!The four actresses at the core are the strength and they were directed to perfection by Audiard.Karla plays her character pre transition and post as it comes to her naturally, having underdone it publicly as an actor. Its a powerhouse performance that is so of our time. Im proud to be alive in a time when a trans actress plays a trans role. And not only that, she nails it. The tragedy of leaving a life but the promise of the one shes always needed.Zoe gets to sing, dance, cry and laugh and everything which I think an actor dreams of doing, let alone in one film. I had never seen a film of hers before and I am so happy this was my first because she shines! Theres a scene of her in a car, where realising what has just transpired, she breaks down in hysteria. Think Margo in I, Tonya or Glenn in Dangerous Liasons. That scene alone should win her an Academy award. And she has a beautiful voice!Selena, for whom I was most excited to see this film, kicks it out of the ballpark. Playing a mob wife, that icy, storm-simmering-below-the-surface kind of woman which she needs to revisit IMO because as a young girl who endured intense scrutiny and then went through a psychosis, she knows it too well whats it like to keep a lid on too long. The one time during the screening where I felt I was having an out of body experience is where her character Jessi finally unleashes her emotions onto us the audience after years of being oppressed. The agony and anger is heard in her voice. Its evidence of why she has said acting is her true calling and how passionate she is about it. It would be stupid to still think shes a disney kid and still has something to prove. Her acting journey is truly so exciting as a fan of almost 2 decades.Lastly, Adrianas character is like the sunshine in the otherwise dark and twisted world the film lives in. She is poignant! And it perfectly complements the other 3 actresses work. She brings love and softness to the story through her work.One major thing to note is that this film is like an opera. It reminds one of the Umbrellas of Cherbourg, which was also almost entirely sung. Emotionally its definitely intense like one, with small moments of calm when you realise youre watching a film.The cinematography was brilliant. At the end of the film, selenas character lays almost unconscious on the passenger seat as her lover drives in rage. The way the camera pans across the car to her face... it felt like a painting, very poetic but tragic.So glad to have watched it before its netflix release. Its amazing when a film can make you feel like this. To take you out of your normal and drive you a bit crazy.",9,153,840,0.14095804988662133,0.6155895691609976
,Jacques Audiard tried to do too much,"Its a musical trans crime drama set in modern times in Mexico, Bangkok, Tel Aviv, Switzerland, and London, England. The two main characters are a Mexican lawyer, Rita Mora Castro , and a vicious cartel drug lord, Juan Manitas . Manitas has a wife, Jessi , and two children. After the film demonstrates Ritas legal capabilities, Manitas hires her to perform a service--find a surgeon willing to perform gender-affirming surgery secretly. Rita is also to resettle his family in Switzerland while Manitas fakes his death and becomes Emelia Pérez.Four years later, Emelia wants her children to live with her as their aunt in Mexico. Rita is again enlisted to assist with things. The film follows this initially successful transition that begins to sour as Jessi pursues a relationship with Gustavo and Emelia explores a relationship with Epifanía . It ends badly.With that plot, its hard to see musical numbers sustaining it. They mostly dont, except for one riveting dance number at a fundraising dinner by Zoe Saldana. The cinematography is occasionally stunning, but the plot jumps from scene to scene with many unresolved issues, e.g., why did the shootout end, and how did Emelia continue to function safely with drug lords after her transition? Jacques Audiard tried to do too much, and it didnt succeed.Zoe Saldana and Karla Sofia Gascón do very well; the direction is the issue.",6,26,83,0.13460743801652894,0.43068181818181817
,UNWATCHABLE,"As a Mexican and a musician, Emilia Perez was an absolute assault on my ears. The songs were atrociously written and horribly performed-an unbearable disaster from start to finish. The Spanish dialogue? Completely unintelligible, thanks to ridiculous accents and what seemed like Google Translate-level writing. Seriously, who thought this was acceptable?The story might have had some potential, but even that was destroyed by how horribly written it was. Any shred of creativity was drowned in a sea of incompetence. This isnt just a bad movie; its an insult to anyone who appreciates decent filmmaking. A complete and utter failure.",1,231,20,-0.21862745098039213,0.6058823529411765
,Hollywood trolls audiences once again...,"In what universe is this movie up for 13 Oscar nominations? No, no, Hollywood is trolling us right? Im not even going to waste time outlining the complete lack of talent required to produce this film, and the complete lack of integrity of all the reviewers who are lauding this film for one reason only...THE MESSAGE must go out to the ignorant people. They must take their medicine, no matter how disgusting it tastes...Well Im not going to take it anymore. Im done with the Oscars. Im done with Hollywood. Im done. In what universe is this movie up for 13 Oscar nominations? No, no, Hollywood is trolling us right? Im not even going to waste time outlining the complete lack of talent required to produce this film, and the complete lack of integrity of all the reviewers who are lauding this film for one reason only...THE MESSAGE must go out to the ignorant people. They must take their medicine, no matter how disgusting it tastes...Well Im not going to take it anymore. Im done with the Oscars. Im done with Hollywood. Im done. In what universe is this movie up for 13 Oscar nominations? No, no, Hollywood is trolling us right? Im not even going to waste time outlining the complete lack of talent required to produce this film, and the complete lack of integrity of all the reviewers who are lauding this film for one reason only...THE MESSAGE must go out to the ignorant people. They must take their medicine, no matter how disgusting it tastes...Well Im not going to take it anymore. Im done with the Oscars. Im done with Hollywood. Im done.",,260,54,-0.14285714285714282,0.46714285714285714
,Doesn't live up to its first act,"I really enjoy how director Jacques Audiard can embrace genre films, something that stands out in French filmmaking. You never know what to expect next with him, and certainly not a Spanish-language musical set in Mexico and featuring a trans mob boss.Its also interesting to see how the movie does not so much deal with transsexuality or identity but rather use that story as a starting point to ask whether people can change. Whether a criminal rotten to his/her core can become another person, and whether they can truly ever atone for their crimes. Beyond sex and gender, can you change your soul?That being said, the movie ultimately disappoints by leaving that theme aside in its last act, for the benefit of a rather bland kidnapping storyline. You feel like that our master criminal is sliding back toward their old violent habits... until the story drops the ball and goes in a disappointing direction. I was really looking forward to the resolution, a sign that the film was working for me, until I realized there was nothing more to expect from this movie. What a waste.The plot also sacrifices the Zoe Saldana character, who at first appears to be the protagonist, until she fades aways in the background. This points again at a screenplay that is good on buildup but weak on payoff.",6,18,67,5.411255411255392e-05,0.41044372294372294
,Overhyped a cringey mess,"The portrayal of Mexico is a caricature, riddled with lazy stereotypes - other than the mum saying her son teacher was missing - so it covers a couple of violent headline news, but far from a full critic of why it happens. The fact that not a single Mexican actor graces the screen, a slap in the face to a rich culture and talented performers dealing with difficult themes.The music? An offensive assault on the ears. Its as if the composers Googled Mexican music and slapped together the first five results. No soul, no nuance, just a jarring cacophony. Sorry but hasta mi pinche vulva te extraña is so cringey in spanish!And the trans representation? The film reduces a complex and nuanced identity to a cheap plot device, lacking any genuine depth or respect into a couple of poorly written songs about de pene a vagina.Emilia Pérez is not just a bad movie, its an insult.",1,384,38,-0.0612781954887218,0.5810150375939849
,"Relentless, thrilling ride that gets rickety, but never derails","Emilia Pérez is a 2024 musical drama starring Zoe Saldana as Rita, a lawyer that is doing her job until a drug lord kidnaps her and requests for a sex change. Along the way we have Selena Gomez play Jessi, the wife of the drug lord that adjusts to new life with the kids she raised with him after the sex change she doesnt know about. Then of course we have Karla Sofía Gascón play Emilia Pérez, the drug lord that changed gender and continues building her empire.Most of the story is delivered with musical numbers so if you dont like that type of genre, stay away from it. This film in particular had a very strange effect on me after it finished as I kind of went into it blind and to be honest, thats what you should do because the film in general is very unexpected in some places and quite comedic as well. After the director and cast of the film presented it to us, then the film started and the audience spread laughs and joy to some of the aspects of the film and I appreciate that. The film shines best with its amazing cinematography , powerhouse acting from all involved and some of the musical numbers.Now, why I say some of the musical numbers, is because most of them are pretty great and impactful to the story but as the film progressed the musical numbers became a lot less eye popping then before and became cliché because of this. The musical performance at the end was dull in my opinion but I think it sumed up some of the story a little bit. But dont listen to me though, as theres a film for everybody and I genuinely liked some of the elements of this film and I think most of you will too when it comes out soon enough.Overall, while not as greatly delivered as I hoped, Emilia Pérez is still a cinematic achievement in musical numbers and great acting that really makes the film all the more engaging and fun. If you like musicals, give Emilia Pérez a try, I think it does successfully deliver of what audiences can expect out of it.Grade: ALondon Film Festival opening gala.",7,44,307,0.2575610269360269,0.42267255892255884
,Ignorance is bliss... But it's still ignorance.,"The music is awful The characters are awful Representation is awful Privileged people thinking how exotic is to live in a country full of violence as if it was the wild west.Devoid of the logical rationality behind human rights.Finally, making the literal comparison of a cartel leader becoming a SAINT.They absolutely have no idea of the real world.Even from the title they thought of the most common stereotypical name...Also its really ironic how they used Google translate but couldnt use google search. Im not even asking for realism, just for them to show they didnt do less than minimum effort.",1,263,24,-0.08223905723905725,0.6398148148148148
,Outstanding,This film is unique in every way possible. To take such a story as this and add music seemed so bizarre and should not work. However the incredible performances of both Saldana and Gascon drew me in. I cant believe how I fell in love with Amelia Perez because one shouldnt but I did.The music too was emotive especially Papa sung by Amelias son.I dont understand the negative reviews but I do understand why it has been nominated for so many Academy Awards.Only in very well thought out films can one be sucked into caring for a character which in life one really should not.This film is about truth and redemption as much as it is about understanding our own identities.,10,7,18,0.275,0.6307692307692307
,a very mixed bag,"The critiques of this movie as inauthentic and cringy are not wrong. In particular the music was really bad, the songs are barely songs, theyre more like chants. On the other hand this movie tells a unique story and has great preformances by Zoe Saldana and Karla Gascon. Zaldana in particular is the only one who is entertaining in her musical numbers becuase she is actually a good dancer and a comelling preformer. I almost felt sorry for Selena Gomez how could she look good when her songs and dialouge were so bad? But Saldana and Gascon kept me watching until the end. I think this would have been much better as a drama and not a musical. And as for people who will say that this is not Mexican, well they are right about that.",6,8,31,0.14845238095238097,0.5280357142857143
,Honestly one of worst films ever made,"As a Mexican this is painful tu watch, as a film lover this es dreadful, if you are going to make a movie about Mexico, HIRE MEXICAN ACTORS! The slang is terrible, not even accurate, is like listening to children cursing !If you dont speak Spanish, if you have a terrible image of Mexico and if youve never travel here because you are afraid youll get killed, this is a movie for you!If you been to this beautiful country and if you understand our language you would agree with me : Esta película no representa a México, ni a su gente, ni a su situación y mucho menos a nuestro idioma.With that being said, the movie just doesnt work, there is no chemistry between the characters , the story goes nowhere , it is one of the worst movies out there , I swear this is not hate, its Just Terrible.",1,327,32,-0.3392857142857143,0.6666666666666667
,"Better than Joker 2, at least.","Its interesting coming to Emilia Perez late, after its caused the stir it has. Watching the film, I was often thinking about whats rubbed people the wrong way, and different things that rubbed different people the wrong way. Lots of it can be interpreted charitably or cynically. Even then, how much of it is really supposed to be cynical is up to interpretation.But its already an overwhelming movie to think about, so I want to focus on what I personally liked and disliked. Im not going to passionately defend the film, but Im also not going to tear it to pieces.I thought it was an interesting film, I appreciated its boldness, I thought some of the acting was good , and some of its thrilling to watch. Its a movie that only sometimes comes alive, but I liked the energy in those scenes that did work. Its a movie that does a lot and asks questions in a way that obviously some people will respond well to and some people will lash out against. I think the film wants to be challenging.Still, even with that intent, Emilia Perez does sometimes feel confused in ways that might not be intentional. Some songs are clunky and repetitive, the editing is bad at times, and the narrative doesnt flow well. All three characters often feel like theyre off doing their own thing in their own movies, and jumping between each one sometimes felt head-scratching.It feels like a film where the people behind it wanted to do a lot, but mightve been overconfident, or more lost than they realised/wanted to admit. Its an imperfect shock not to the system, but to so many systems, and I dont know how many systems/things it was targeting necessarily.Thinking about this film wears me out , but I think for better or worse, itll kind of stick with me. I dont know if I want it to for too long. But I can say this: I dont think I regret watching it.",6,8,31,0.08888888888888889,0.6324074074074074
,Terrible & Tedious In Equal Measure,"Emelia PerezQuite frankly it was a terrible movie from start to finish with little redeeming features, what a waste of 2 hrs and 14 minutes of anyones life!The story can be summed up in very few words, a murderous Mexican Kingpin Druglord wants to escape and establish a new identity, this coincides with his desire to become a woman, and has been taking hormones for 2 years in advance in preparation for this moment, he flashes his breasts at Rita, the Lawyer to persuade her of his conviction to transition. Surprisingly a concurrent scene shows him with his wife and two children and she seems not to have noticed this additional cleavage lol!Oh well moving on, we then have a surgical interlude, 5 years pass and his widow and 2 children are relocated to Switzerland.The second half of the movie now begins with the Druglord reappearing as Emilia Perez, her new female identity, and reconnected with Rita, seemingly after 5 years he missed his children. Unbelievable!Suddenly Emilia was the Aunt, his widow and children were living with him and we had some presentation of happy families lol. Quite ridiculous!Emilia then embarked with Rita on reuniting the bodies of disappeared victims with their families, possibly victims of her past life. After various twists and turns Emilia gets killed in a botched kidnap attempt and she is elevated to that of a modern saint in the closing sequences.As you can see it was a bizarre and unbelievable tissue thin story, with numerous plot holes, populated by nasty stereotypes in the format of a Latino novella. The strange music grated, the stylised dancing was simplistic and derivative. It all moved at a glacial pace and was as dull as ditchwater and we just couldnt like or identify with any of the extreme characters. It was just a car crashing offending everyone!I am totally at a loss to understand the reviews and the ratings on here, I just wanted it to end. To give a high mark because there is a gender transition element, which, by the way is incidental to the story, because its trendy, is shocking and shallow, and equally wrong to elevate a movie because the movie is set in Mexico, a supposed unrepresented cinematic country.Any potential rating must be based upon the art product before us and this was beyond bad, Im going to give this a 3 out of 10 and that is a fair score for this tripe!",3,42,2,-0.04888306138306138,0.543053613053613
,"It is stunning, it is brave, it is...Utter nonsense.","This motion picture is one of the most celebrated and talked about films of the year 2024? And deserving of nominations and wins at some of the most prestigious events honoring excellence in the craft of filmmaking? I dont want to come across as some kind of conspiracy theorist but are the producers trying to perform every trick out of the hat to convince members of the Academy to select it for most noteworthy of award categories? Because when I think of the best of 2024, this does not even make it in the top five, let alone top 10 . I wouldnt even go far as to say it is among the worst of 2024, either, but really there isnt much going for it to give a recommendation.The film does not commit to a tone. One minute it wants to be a dark comedy, and then the next a very serious crime drama that provokes a bit of thought. The two could be balanced better if the script were given another pass, but as it is the clash creates a night and day difference and rather than come across as unique it feels like incompetence on the filmmakers part. The premise honestly could work as a comedy, and a thriller, but the lack of commitment creates a very strange experience that makes the whole thing seem so silly.The musical numbers do not add really anything to the film, are not catchy or memorable and feel very out of place when they arrive. Zoe Saldana is a good singer, but struggles to make these lyrics sound golden, Selena Gomez sings pretty good but the context to where the music comes into the picture feels forced in.Zoe Saldanas performance is good, but I dont think it is her best in her career as some outlets suggest. Selena Gomez is completely miscast. Karla Sofía Gascón and Adriana Paz are both quite good, but the script isnt up to level in quality. Edgar Ramirezs role could have easily been portrayed by anyone else, really. This isnt to say Ramirez is bad in the production, but his function seems to just be a recognizable face - far and away the best presentation of his acting talent.The representation of the drug problems in Mexico are terribly researched and portrayed wrong by the filmmakers. Was it hard to have done at least an hour of research into the topic? The presentation of transgenderism is also problematic, so changing your biological self means you are free of your past sins, really? Its saying something when organizations like GLAAD have not been very kind towards this picture.I personally do not think time will be very kind towards this movie, even if it wins all the awards at the 2025 Academy Awards.",,21,10,0.235060606060606,0.5227878787878788
,Very different and most entertaining musical I've seen in a while.,"Emilia Perez really caused a stir. Theres so much controversy around this film, and so many who absolutely love it while so many detest it. Most of the criticism seem to come from Spanish speaking people. Since I dont speak Spanish and dont know anything about Mexican culture, I obviously cant comment on that aspect of the film. Therefore I will review it on its entertainment value .Shortly after winning a murder case, attorney Rita is contacted by crime boss Manitas. Tired of a life of violence, he wants to start a new life...as a woman. He requests Rita to do research on gender-affirming surgery, and promises to reward her richly. However, Manitas is married and he has children. In order from him to become the woman he always wanted to be, his family is to be told he was killed by his enemies.Four years after his surgery, Manitas is known as Emilia Perez. Longing for his family, he once again contacts Rita to ensure their reunion, with Emilia supposedly being their Aunt. Regretting his past, Emilia is now doing good in his new life, but - when things start going wrong - old habits seem to die hard...I absolutely love this movie! I love the music, the musical segments, and the performances by Zoe Saldana as Rita and Karla Sofía Gascón as Emilia Perez. Emilia Perez is a very different kind of musical, and I thought it was fresh and original. The film captured my attention from beginning to end.",7,9,38,0.1949242424242424,0.4179696969696968
